,0
10,"Разъем джек убрали, Карл вы серьезно???  Дизайн изменился только выпуклостью камеры, ах да, ну и глянец, который закроется бампером или чехлом, ну а если нет, то будет весь изляпан и исцарапан, да и партия их ограниченная. Крутая камера? Да ну))  По тестам не лучше чем у Самсунга седьмого. В темное время суток Самсунг даже лучше себя показал, да и класс водозащиты у Самсунга выше. Не стали делать поддержку беспроводной зарядки и fast charge? Красавцы ребят, зачем эта функция вообще нужна топовому флагману. Ну а разрешения дисплея оставляет желать лучшего. В общем вновь разочарование, а не смартфон."
11,"Ужасно мылит, как дешёвый телефон за 4-5 тыс. рублей. Все возможные манипуляции, отключение украшалок, сбросы настроек и установка google камеры - мало что меняет. Телефон снимает слабо, хотя много от него и не ждал, но не настолько убого. Разочарован в покупке."
12,"Добрый день, в целом для 2020 года слишком простенькая модель, не уверен, что эппле на ней сильно заработает, да и сама компания сдувается, идеи иссякли, работают на прежних наработках. Если так и дальше пойдет, через пару лет уйдут с лидирующих позиций"
13,В комплекте наушники и зарядка
14,"Батарея держала очень прилично,и не мог понять почему его хаят за батарею,но потом сдулся.Начались тормоза ,раз пять зависал с последующей перезагрузкой!Экран не выходил из спящего режима,хотя приходили сообщения ,отдача кнопки Хом и остальные звуки.Сдал в сервис.интересно ,что скажут.Советы по полному сбросу и обновлению не помогли"
15,Всплывают постоянные уведомления-типо загрузите гугл систему. Браузер Яндекс только
16,"Дико неудобно, что не поддерживает гугл, разочарование"
17,"Царапается, если его залить водой то по гарантии не вернут деньги, БОЛЬШОЙ РАЗВОД не ведитесь яблоко гнилое стало....."
18,"Не все приложения поддерживаются, но общей работой дочь довольна"
19,"Телефон очень ужасный,Iphone самый не любимый мой телефон"
20,"Android приложения, на мой взгляд, содержат меньше багов, да и система постабильнее будет.
 работаю сам  iOS разработчиком более 2,5 лет, поэтому решил всё таки купить айфон, хотя пользовался обычно Android смартом. Заказал из Германии за ~730 евро. Знаю внутренности iOS и как там всё печально, это отражается на всех приложениях. Что касается так часто упоминаемого отказа от 3,5 мм джека, считаю это минус. Музыку слушаю в плеере боле качественным"
21,"Глупое решение убрать гнездо для наушников. Как теперь слушать музыку? Обычные без переходника не подключишь, переходник - это геморрой, неудобно, громоздко, потерять можно... Беспроводные тоже не вариант - замучаешься подзаряжать каждый раз. Короче - сплошные расстройства. Хотел было брать новинку, но как узнал что без гнезда для наушников, передумал. Теперь точно возьму 6-ку, благо подешевели немного."
22,"Прикольный дизайн, особенно в синем цвете. Сам по себе телефон слабый, но справляется с простыми приложениями: мессенджерами, соц. сетями, слабыми играми. В игры  мощней не поиграть просто по недостатку памяти. Хорошо держит зарядку, в меру пользуясь интернетом аккумулятор стабильно продержит день. Если покупать вместе с баллами, то выгодное предложение, если без , то можно подобрать что-то лучше."
23,"Телефон не соответствует описанию на сайте, очень не приятно. На фотографии он с кнопкой сзади, по факту кнопки нет, процессор 4х ядерный Медиа Тек, а не 8 ядерный Qualcomm. Хочу всех предупредить проверяйте описание на сайте перед покупкой."
24,"Почитала я тут отзывы и обрадовалась, пошла купила, а на деле оказалось, что телефон постояно перезагружается (оперативки очень мало), динамик тихий и батареи от силы хватает на пару часов. Результат : через день пошла сдавать в магазин на экспертизу. Никому этот телефон не советую."
25,"Будьте внимательны при покупке. Телефон записывает видео с отчетливым посторонним звуком. Отправляла в СЦ на диагностику, сказали, что это не является браком. Но есть одно, НО..у знакомой точно такая же модель, и никаких посторонних звуков при записи видео. Очень разочарована."
26,сам телефон неплохой но батарея перестала заряжаться при включенном телефоне а наоборот процент заряда батареи падает до 0% ! но так продолжаеться пару дней потом пять норм и так с переодичностью раз в месяц на пару дней!
27,"плюсы: 5 дюймов, хорошая начинка, отличный дисплей"
28,"Телефон работает нормально, дизайн очень даже привлекательный, но вот камера и звук оставляют желать лучшего. При звонке в скайпе камера очень темная, что видно только силуэт. И при разговоре очень плохо слышно собеседника и меня никто не слышит. Возможно мне такой попался, пойду разбираться. Если бы не эти минусы, могла бы советовать,а так не рекомендую"
29,Смартфон красивый.шустрый.экран яркий.все хорошо.только через 2 дня вырубился и больше не включается.вот такая печальная история.поэтому не надо сырые смарты покупать.
30,"Жалею что приобрел этот телефон. Через 3 месяца разбил, очень хрупкий, не выдержал падения)))), не покупайте"
31,"покупал для навигатора и прсмотра онлайн, сказали бери этот. взял - а навигатор по уже указанной причине не работает. если навигатор не нужен, за эти деньги очень рекомендую"
32,"если покупаете не для игр, то хорош."
33,"Не советую к приобретению! Редкостный хлам. Экран при малейшем наклоне засвечивается, такого я нигде не видел еще, все сливается, картинка не сочная, разряжается быстро даже при самом минимальном значении яркости экрана, сам корпус весь скрипит, сенсорная чувствительность отвратительная, в самым слабых играх постоянно тормоза, сеть по крайней мере на первой сим-карте даже в центре города пропадает либо слабая, про камеру лучше промолчу. Единственное это более менее слышимый внешний динамик при звонках, при разговоре также проблем не выявлено, иногда бывает плохо слышат на той стороне линии. Не стоит своих денег, за такую сумму есть намного лучше конкуренты!"
34,"Зарядка держится плохо, передача данных отвратительная,  wi-fi не ловит не одной точки. Использовать только как обычный телефон.  Лучше купить другую модель"
35,"Как уже писали, с GPS у него явные проблемы... Но вот чего точно не ожидал, так это объем памяти - вместо заявленных 4GB ОЗУ, доступно ВСЕГО 2GB !!!
Придется снова идти в магазин и разбираться, в чем проблема, что за ерунда...
Совершенно непонятно, КАК такое возможно!!!"
36,Через три недели запищал разговорный динамик
37,"Только купил, не могу сказать."
38,"Приобрел телефон в июне 2017. Сегодня при попытке набора номера обнаружил, что из 100 примерно абонентских номеров оказались удалены все, за исключением шести из списка ""избранные"". Это уже второй случай за 4 месяца. Заставляет задуматься, не приобрести ли другую модель. Выводы делайте сами. Да, и чувствительность сенсорную не мешало бы улучшить."
39,"Ужасный телефон,накрылся сразу,даже не успела попользоваться. Заряд не держится,от  3G интернета выключается"
40,НЕ СОВЕТУЮ ЕГО ПОКУПАТЬ В НЕМ ОДНИ МИНУСЫ БАТАРЕЯ ГЛЮЧИТ ОН САМ ПО СЕБЕ ВЫКЛЮЧАЕТСЯ ПАМЯТИ НЕТ ВООБЩЕ КАМЕРА УЖАСНА СВЯЗЬ ПЛОХАЯ ВООБЩЕ
41,покупайте очень хороши и удобний чехлы есть на него
42,Не советую эту модель  она ужасна
43,"Не повезло с телефоном. Через 3-4 месяца с начала эксплуатации возникла проблема со встроенным динамиком: я слышу, меня нет. Т.к. телефон был на гарантии. отремонтировали бесплатно в течении 10 дней. затем через полгода проблема с аккумулятором-на 57 % резкое падение зарядки и телефон просто отключается. Замена батареи в течении 1 месяца, т.к. нет в наличии таких аккумуляторов, пришлось заказывать. Слабое гнездо (то бишь разъем)."
44,"Месяц в пользовании, как терплю не знаю. Андроид 4.0 прелесть на  этом 5.0 хуже не придумаешь. Мелодию индивидуально на входящий не поставить?! При двойном клике на ""Рабочем столе"" изображение УВЕЛИЧИВАЕТСЯ?! и т.д."
45,"пробыл в пользовании ровно неделю!
подтормаживает
батарею держит слабо
при звонках очень тихо слышно собеседника
постоянно теряет связь
можно за эти деньги поискать модели поинтереснее"
46,В руке достаточно большой. Придётся купить держатель чтобы не выпадал из руки при наборе текста.
47,"Смартфон для повседневного пользования с возможностью выхода в интернет. HD экран с разрешением 1440x720 и  IPS матрицей. Камера одна на 8 Мп, снимки делает плохие, очень много шумов. Процессор имеет четыре ядра и  производительности у него хватает только на социальные сети. Из положительного можно найти разъём под две сим карты. Так же имеется слот под карту памяти, поддерживаются карты до 256 Гб. Вес телефона небольшой и составляет 142 грамма."
48,"Бюджетный телефон со слабым процессором и малым объёмом оперативной памяти. Из плюсом можно отметить большой HD экран, две камера которые на 8 и 5 МП соответственно. Снимки получаться низкого качества с обилием шума и недостаточной резкостью, в темноте снимать нельзя. Динамик достаточно громкий, на максимальной громкости немного шипит. Корпус пластиковый и быстро покрывается мелкими царапинами. При работе нагревается сразу в районе камеры."
49,"Телефоном пользуюсь уже 3 месяца. Самое большое разочарование в нем это то что он часто тормозит, особенно при использовании камеры. Если у вас есть маленький ребёнок нужно сильно постараться сделать нормальный снимок. В целом сейчас жалею что не взял А50, думаю бОльший объём оперативной памяти решает эту проблему."
50,Крайне посредственная и сырая модель.
51,"Подойдёт для совсем маленького ребёнка, который ещё не может ничего с телефоном делать или для старика с аналогичными способностями... Честно, не ожидала, что в современном мире технологий может существовать такое качество..."
52,Телефон с явными конструктивными дефектами. Своих денег точно не стоит!
53,"Если бы не все эти перечисленные серьёзные недостатки, смартфон получился бы действительно флагманом. Смартфон своих денег точно не стоит."
54,"Через полгода использования телефон тупо завис, помогла его воскресить перепрошивка. Еще через 10 месяцев, случилось тоже самое - в ремонте сказали, что дешевле будет купить новый. В общем, не советую, лучше подкопить и взять самый бюджетный Ксиоми, как вариант."
55,"Покупал как замену рабочему кнопочному телефону, т.к. без WhatsApp теперь ни как не обойтись. Для переписки по WhatsApp подойдет, но не для разговоров. Решил сэкономить, теперь понимаю что нужно было брать другую модель подороже."
56,"было бы все супер тем более за такую цену. НО! заказали дополнительно sdкарту на 32 Гб и  постоянно выскакивает что недостаточно памяти. хотя в хранилище он пишет общую память телефона с sdкартой как и положено. муж что только не делал не выбирал при выборе когда вставляешь флешку и всеравно одно и тоже. ребенок расстроен покупался на новый год в подарок, ребенок любит снимать видео, а получается постоянно приходится удалять. очень это раздражает ребенка и меня видя как ребенок мучается. полностью своей цены не стоит(6500)!!! максимум 4000!"
57,"Одним словом никому не советую, даже за такую маленькую сумму есть смартфоны куда лучше по всем параметрам."
58,"Лично мне после долгих лет ходьбы с разбитым экраном экран этого телефона кажется очень даже достойным, на нем весьма удобно читать книги и смотреть видео. Цвета сочные,приятные глазу. Расположение фонарика не во всех ситуациях удобны (к примеру,чтобы найти вещь попавшую под кровать,фонарь,расположенный по середине крышки окажется почти бесполезен). Надписи не раздражают,как и камера-капелька, а первые (на задней крышке) может закрыть заводской черный чехол с крышкой для USB разъема. Камера совершенно постная ,сравнимая с моим старым Xiaomi Redmi 3s, так что она точно не должна заострять на себе ваше внимание при выборе смартфона."
59,"Я уже давно разочаровался в Эппл. Купил этот телефон спустя пол года после выхода. Он был идеален. Шикарная камера. Батарея держала чуть ли не 2 дня. И в течение последующих полугода (пока близилось время выхода ""новых"" айфонов) выходили все новые обновления прошивки и мой Х становился все хуже и хуже.. Мне не очень ясна такая политика компании - зачем мы будем изобретать что-то новое если можно ухудшить старое. Весной 2019 я решил не обновляться. И представляете прошивка установилась автоматически. Хотя автообновление выключено! То есть они обяхывают обновляться! Я крайне разочарован. Больше не гонюсь за новинками Эппл. И даже иногда подумываю что буду переходить на андроид. Хотя айфонами пользуюсь с четверки."
60,Спасибо goods.ru
61,ждали телефон он около недели шел заказывали ожидали его на день рождения так как не получилось с доставкой было немного задержка но не критично компенсировали баллами от goods спасибо вам
62,"Покупался только с одной целью - нужен был дешевый аппарат для симки Теле2 (то есть с поддержкой 3G как минимум). Со своей целью справился - с него можно звонить, на него можно звонить. Можно даже обмениваться СМС. Всё остальное - будет сильнейшим образом тормозить."
63,"за такую цену конечно, лучше купить что-то другое"
64,"Телефон приобрела год назад. Делала выбор между Самсунгом в той же ценовой категории и Сони, выбор пал в пользу последнего, о чем жалею..."
65,"Смартфон шустрый, но микрофон отвалился через неделю. Как телефон очень сложно использовать - ты слышишь, а тебя нет."
66,"В использовании неделю. Беру сони из-за качественного звука. Слабый экран, требуется защита. Очень быстро 30 мин разрядился на морозе -25. В целом довольна."
67,"Телефон из бюджетного сегмента но при этом обладает красивым дизайном и комфортный в использовании. Без проблем может прожить два дня при этом слушая музыку по пару часов в сутки. Две камеры но они слабенькие и делают нормальные снимки при хорошем освещении. Лаунчер быстрый и нет ощущения тормознутости, при этом сам аппарат подходит только для социальных сетей а игры самые простые. Радует поддержка двух сим карт. В комплекте идёт только зарядное устройство."
68,"Полетел дисплей через несколько дней использования, на экране нет подсветки и ничего не помогает, полный сброс оставил проблему. В итоге потрачено куча времени."
69,Мое «Мнение о новинке». Я считаю смартфон Xiaomi Redmi Note 4А 16 16Gb Gold мощным смартфоном с достойной зарядкой
70,"честно сказать за такие деньги, такой телефон никогда бы не купил..я считаю красная цена у него 13 тыс рублей"
71,"Телефон начал глючить уже через пару месяцев. Зависают приложения, иногда камера виснет и вылетает. Фокусируется фотик и правда отвратно, тормозит - из-за этого не получается поймать удачный момент.  Батарейки хватает максимум на 12 часов  с утра взяла телефон заряженный на 100%, целый день в вотсапе, интернет и звонки короткие и ближе к вечеру уже заряд 2-3 %.  Камера на айфоне 4 кстати больше нравилась. В общем не рекомендую.."
72,"Пользуюсь данным гаджетом месяц. Телефон брала из-за емкой батареи и для рабочих разговоров по телефону (нет, правда). В итоге - после 30 звонков, длящихся в среднем 1-1,5 минуты телефон разряжается в ноль. При этом выключены все потребляющие энергию функции. Зарядки хватает где-то на 15 - 17 часов."
73,Телефон постоянно зависает.
74,"Взял бы этот аппарат, если бы у него было 6 гб оперативной памяти, но платить 40тыс. рублей за 4гб оперативной памяти в 2019 году это не очень хороший вариант"
75,"Отличный телефон за свои деньги,очень приятно лежит в руке,не плохая камера,хорошее качество сборки,довольно не плохо держит заряд аккумулятора.В последнее время упал в цене,за счет чего стал еще более актуален для покупки.
Итог:Если хотите сэкономить и все-же получить хороший телефон,этот вариант для вас."
76,"Не прошло месяца после покупки данного смартфона, как он умер.. Пришлось сдать в магазин на экспертизу, теперь жду.. Кстати, взамен мне не дали ничего, так как обменный фонд пуст, что тоже очень плохо."
77,"Пользуясь с августа 2016, постоянно зависает, проблемы с вайфай, выйдешь в другую комнату и уже интернета нет, ничего толком не могу скачать"
78,Камера ужасная. Не думала что в таком аппарате будут минусы.
79,"Впечатление только одно - БАРАХЛО, как, впрочем, и многие другие китайские товары! Ежели оно и в городе будет так работать - место ему лишь на помойке! Отсюда такая рекомендация: - ребята, обходите подальше это китайское добро. Лучше взять японца или корейца с более скромными характеристиками."
80,Купили в подарок маме.Не очень удобно лежит в руке. Интернет не похож на 4g. Экран не достаточно четкий. Приятная музыка на звонки. Камера хорошая.
81,"Купила неделю назад ..расстроилась из за камеры и звука , даже через хорошие наушники звук как из ведра..Сфотать ребенка невозможно, да и взрослого тоже, четкости нет, если свет чуть приглушенный всё, шумов куча...Но долго держит заряд, тонкий, большой экран.."
82,"В целом телефон не плохой, для повседневной жизни сойдет, но больше бы себе такой не взял!"
83,norm takoy telefon)))
84,"Приобрела данное «Чудо» три недели назад. За такую цену поначалу, мне показался достаточно не плохим приобретением. Через три недели начались проблемы: телефон начал перезагружаться автоматически, тогда когда ему захочется, затем при последнем включении появилось окошко «Запуск Android… Оптимизация приложений» и в результате он отказался работать вовсе. Завтра поеду сдавать его обратно в магазин. Вполне возможно, что это заводской брак и только мне одной так «повезло». Не советую к покупке. Пожалела."
85,"Купила в этом магазине в июне. В сентябре сломался верхний динамик , теперь слышно только через громкую связь или через наушники !!!"
86,"ДОбрый день. Хочу выразить благодарность за оперативную работу команды магазина MediaMarkt на Сулимова, МОЛЛ Парк-Хаус. Товар был подготовлен быстро и качественно.Слаженная работа экономит наше время))"
87,"Телефон отличный, лучше не придумаешь, удобен, стильный, функциональный, Всё просто супер."
88,Очень нравится .Нужна пленка.
89,красивый дизайн и простое меню
90,"В игрушки не играю, ничем мощным не нагружаю, зависает на простом приложении. В целом нормальный, но тормозит. Знал бы, не купил."
91,За 2 месяца умер динамик.
92,"Телефон сам по себе хороший. Достаточно функций. Но камера все испортила.в магазине не рассматривала,брала по отзывам .Но он этого не стоит. Буду пытаться обменять телефон."
93,"Очень странный аппарат попался, может так только мне повезло,я вообще на такие вещи очень везучая. И так покупали в подарок маме при заборе тел. из пункта выдачи проверили комплектацию и работоспособность. Но уже при постоянном пользование выяснилось что тел хоть и андройд но почему то не на гуглплей а на апстор. В итоге программы нужные для работы, и жизни, те же самые такси не встают. Им нужен гугл, а гугл не потдерживает в общем замкнутый круг. Наверное надо перепрошивать. А так в целом нор звонит и пишет. Ну и ватсап работае единственный месендже."
94,"Качество динамики подводит. В общем был доволен покупкой, но звук далеко не чистый. За такие деньги могли бы доработать."
95,"Телефон очень простой по дизайну, автономность хорошая,как и камера, она снимает достойно, но все же этому смартфону не хватает чего-то. серия 2017 года лучше его во всем, она почти совершенна. Так что рекомендую этот смартфон, но по возможности берите серию 2017 года, хоть и цена весомо отличается."
96,"Телефон внешне очень приятный и сам по себе вроде и быстрый, но очень часто просто зависает на пустом месте. Будь то инстаграм, будь то ВК или просто контакты. К сожалению, полностью насладиться таким телефоном очень трудно. Либо нам попался брак с магазина maximus, либо это все такие телефоны. Не падал, не царапали и ничего не проливали на него. Скорее всего. все-таки не рекомендую этот телефон лишь из-за его очень неприятных лагов. Советую присмотреться к новинкам 2019 года от этой же фирмы"
97,"Начитавшись супер крутых отзывов о смартфоне honor 10 я поверив приобрела! О чем позже очень пожалела... Пользуюсь неделю. Смартфон очень хрупкий, всего через пару дней пользования заднее стекло треснуло, а это все таки одна из фишек этого смартфона! Отпечаток пальца не срабатывает в большинстве случаев. сканер лица норм, но он не так практичен.. Например если хотите посмотреть время просто то не получится экран сразу же разьлокируется! Клавиатура по бокам смартфона не всегда срабатывает и это далеко не в защитном стекле дело!! Камера самая ужасная какая только может быть на смартфоне. Чтоб снимки получились чёткими нужно включать режимы которые не всегда удобно включить бывает что камера срочно нужна и включи её и снимай но нет,!! Искусственный интеллект подойдёт только для фото природы. Из приложений вылетает. В игрушки не играю ничего насчёт этого не могу написать.. Смартфоном недовольна не рекомендую"
98,"Плюсы: Андроид 8.0 прямо из коробки, 3 камеры (2 основных и 1 фронтальная) 2 вспышки (основная и фронтальная), очень хороший и громкий звук из динамиков, быстродействие, есть отдельный слот под карту памяти, доступно 24 Гб. памяти из 32-х, есть поддержка OTG, имеется функция разблокировки по лицу, на экране уже наклеена защитная плёнка."
99,"Быстрый, удобный и функциональный. Камера хорошо фотографирует. подводит экран...нет насыщенности..все сливается в кучу...белым бело."
100,Срок 6месяцев
101,"Купил на 256 гб. корпус уже из коробки издавал скрипы при сдавливании в руке, в итоге  по гарантии переклеили экран. стальной корпус тяжелее чем алюминиевый и гораздо менее устойчив к царапинам. Чтобы вы понимали он царапается об чехол. Как стальная рамка так и экран такого качества можно сказать царапается об воздух. очень разочарован."
102,"Большой экран, функция разблокировки по лицу - за эти деньги последнее просто восторг. По скорости работы не Huawei P20, конечно, но терпимо. Камера мягко говоря не впечатлила, особенно в помещении - телефон покупался в качестве временно-запасного, но от столь низкого качества снимков давно отвыкла. Но самое неприятное - это битый пиксель на новом аппарате. Увы, возврат."
103,Средений вариант смартфона. Ничего особенного.
104,"Тел нормальный ,но есть пара  минусов:камера 2мп,батареи на долго не хватает.А плюсы: мощьнинький ,двух ядерный,тянет хорошие игры но не выше 1гб."
105,"Купил телефон, нагревается в жару,"
106,"очень люблю этот телефон, но увы разочаровывает, полетел звуковой процессор, экран ненадежный"
107,"Через два дня после покупки во время беседы по телефону- треснуло стекло, трещина через весь экран."
108,"Не советую к приобретению данную версию s8, лучше найдите версию на Snapdragon и тогда телефон будет просто отличный."
109,tesамывмамt taserssssaavavdsvsrамвмвмssgesss fvwvьдfsdfsgedgsst tsesаммфамst photo
110,tesамывмамt taserssssaavavdsvsrамвмвмssgesss fvwvfsdfsgedgsst tsesаммфамst photo
